OBJECTID,GEOID,County,City,TotalPop,LowInc_PEC,POC_PEC,VulAge_PEC,PWD_PEC,LEP_PEC,LVTA_PEC,HHCostB_PEC,NoHS_PEC,SinParHH_PEC,OthPriorityPops,YEAR,GlobalID,created_user,created_date,last_edited_user,last_edited_date
744,06071009720,San Bernardino,Apple Valley,2026,1,1,1,1,1,1,0,1,1,6,2023,{9C603661-3036-45F2-9ACA-338A09AB1F0C},,,,
745,06071002609,San Bernardino,Fontana,4037,1,1,1,1,0,0,0,1,0,3,2023,{177B846B-EE66-4F5F-8B26-0EA7DA88AC8F},,,,
746,06071009914,San Bernardino,Victorville,2825,1,1,1,1,0,1,1,1,1,6,2023,{F77D7957-35ED-4165-B40E-F0D8CB9225E0},,,,
747,06071009133,San Bernardino,Unincorporated,8607,1,1,1,0,1,1,0,1,1,5,2023,{3221B2D5-07CF-4F52-AF84-42853B1A654B},,,,
748,06071009130,San Bernardino,Adelanto,4259,1,1,1,0,0,1,1,1,0,4,2023,{3D403FD1-61EE-48DB-BD09-FFECEB407239},,,,
749,06071009129,San Bernardino,Adelanto,6535,1,1,1,1,0,1,1,1,1,6,2023,{B47BBA8D-AE18-4A6E-80C1-9E87DEACA49B},,,,
750,06071009122,San Bernardino,Unincorporated,5865,1,0,1,1,0,1,1,0,1,5,2023,{DC441440-759F-4260-BF80-16072B1C0D51},,,,
751,06065040501,Riverside,Jurupa Valley,7385,1,1,1,0,1,1,1,1,0,5,2023,{1A2893E4-78C9-4475-BD4A-B3A6BD852AE2},,,,
752,06065040503,Riverside,Jurupa Valley,3599,0,1,1,1,0,0,1,1,0,4,2023,{2DDC22FF-F47A-4766-9B39-A01C67E0DA1F},,,,
753,06071007202,San Bernardino,San Bernardino,2219,1,1,0,1,1,1,1,1,0,5,2023,{FA48A3E7-079B-4AE0-A20F-5D1EEE0AAB6E},,,,
754,06071007201,San Bernardino,San Bernardino,3730,1,1,1,1,1,1,1,0,0,5,2023,{FA957A54-CFFA-48DA-B7EF-D2D0DAFF8D93},,,,
755,06071005102,San Bernardino,San Bernardino,3439,1,1,1,1,0,1,1,1,1,6,2023,{A19C5386-2573-4FBB-AED8-59C4F784B7C1},,,,
