X,Y,OBJECTID,LOCAL_GOVERNMENT,CSCPORTAL,NAME,SWIS,COUNTY,MUNI_TYPE,STATUS_AS,DATE_ADOPT
-73.663235274,42.670653825,234,Town of North Greenbush,https://climatesmart.ny.gov/,North Greenbush,383200,Rensselaer,Town,Registered,11/14/2019
-73.684376571,40.7506575140001,235,Town of North Hempstead,https://climatesmart.ny.gov/,North Hempstead,282200,Nassau,Town,Bronze Certified,4/28/2009
-73.603613556,41.333048412,236,Town of North Salem,https://climatesmart.ny.gov/,North Salem,554000,Westchester,Town,Bronze Certified,10/27/2009
-78.8636525269999,43.0462848650001,237,City of North Tonawanda,https://climatesmart.ny.gov/,North Tonawanda,291200,Niagara,City,Bronze Certified,4/6/2021
-75.522844361,42.533597957,238,City of Norwich,https://climatesmart.ny.gov/,Norwich,081100,Chenango,City,Registered,6/21/2022
-72.717791091,40.9415888410001,239,Town of Riverhead,https://climatesmart.ny.gov/,Riverhead,473000,Suffolk,Town,Registered,7/16/2019
-74.280236614,41.8132432450001,240,Town of Rochester,https://climatesmart.ny.gov/,Rochester,514400,Ulster,Town,Registered,12/4/2020
-77.6161976559999,43.167124207,241,City of Rochester,https://climatesmart.ny.gov/,Rochester,261400,Monroe,City,Bronze Certified,8/11/2009
-74.797144299,41.9387633700001,242,Town of Rockland,https://climatesmart.ny.gov/,Rockland,484400,Sullivan,Town,Registered,2/15/2018
-75.490811464,43.2260358250001,243,City of Rome,https://climatesmart.ny.gov/,Rome,301300,Oneida,City,Registered,7/22/2015
-74.7275340269999,42.7226499400001,244,Town of Roseboom,https://climatesmart.ny.gov/,Roseboom,365800,Otsego,Town,Bronze Certified,10/11/2018
-76.694933168,43.012220176,245,Town of Montezuma,https://climatesmart.ny.gov/,Montezuma,054000,Cayuga,Town,Registered,12/16/2014
-74.207182828,41.5409446940001,246,Town of Montgomery,https://climatesmart.ny.gov/,Montgomery,334200,Orange,Town,Registered,10/3/2019
-76.418784909,42.7378525890001,247,Town of Moravia,https://climatesmart.ny.gov/,Moravia,054200,Cayuga,Town,Registered,6/20/2018
-74.262425344,41.946818233,248,Town of Olive,https://climatesmart.ny.gov/,Olive,514000,Ulster,Town,Bronze Certified,7/12/2016
